Réseau,Produit,Années d'exercice,Garantie,Les primes émises_garantie Décès 2022,(REC/Provisions Mathématiques)_Décès au 01/01/2022,Provisions pour SAP AU 01/01/2022,TOTAL  CREDIT,Les sinistres payés_Décès de l'éxercice 2022,(REC/Provisions Mathématiques)_Décès au 31/12/2022,Provisions pour SAP au 31/12/2022,Report du solde Débiteur eventuel des exercices anterieurs ,TOTAL DEBIT,Résultat technique,Charge sinistre (N),Charge sinistre (N-1),Charge sinistre (N-2),Charge sinistre (N-3),NB d'année contrat,MOYENNE,Provision d'égalisation
C10,prévoyance,2022,Décés,1743024.96,0,2600000,4343024.96,2000000,0,0,0,2000000,2343024.96,-600000,-600000,3200000,0,,866666.6666666666,129999.99999999999
C11,prévoyance,2022,Décés,405046.0800000001,0,0,405046.0800000001,0,385071.20482191787,0,0,385071.20482191787,19974.875178082206,0,0,0,0,,0,0
C12,prévoyance,2022,Décés,55578.277950564734,2092.0654556969157,0,57670.34340626165,0,2131.7695652271404,0,0,2131.7695652271404,55538.57384103451,0,0,50000,0,,16666.666666666668,2500
C13,prévoyance,2022,Décés,113513.51999999999,3745.1198909645686,0,117258.63989096456,0,46960.387726027395,0,0,46960.387726027395,70298.25216493718,0,0,0,0,,0,0
C14,prévoyance,2022,Décés,325378.80000000005,0,0,325378.80000000005,0,173832.50958904112,0,0,173832.50958904112,151546.29041095893,0,0,0,0,,0,0
C15,prévoyance,2022,Décés,163720.44,38936.189589041096,0,202656.6295890411,500000,40369.42356164383,0,0,540369.4235616438,-337712.7939726027,500000,500000,0,0,,166666.66666666666,0
C16,prévoyance,2022,Décés,595103.76,0,0,595103.76,0,0,0,0,0,595103.76,0,0,0,0,,0,0
C17,prévoyance,2022,Décés,963829.0000000001,0,0,963829.0000000001,209346.74,0,287712.97,0,497059.70999999996,466769.29000000015,497059.70999999996,497059.70999999996,0,0,,165686.56999999998,24852.985499999995
C18,prévoyance,2022,Décés,8995.109294636297,1466.3260357009856,0,10461.435330337283,0,1675.801183658269,0,0,1675.801183658269,8785.634146679015,0,0,0,0,,0,0
C19,prévoyance,2022,Décés,28458.479532163743,26041.457982856686,0,54499.93751502043,0,26041.457982856686,0,0,26041.457982856686,28458.479532163743,0,0,0,0,,0,0
